[2024-08-20 13:25:22.047]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:25:22.058]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:25:22.800]	 Installing "tmux-resurrect"
[2024-08-20 13:25:22.801]	 Installing "tmux-copycat"
[2024-08-20 13:25:22.801]	 Installing "tmux-continuum"
[2024-08-20 13:25:22.801]	 Installing "tags"
[2024-08-20 13:25:23.172]	   "tags" download fail
[2024-08-20 13:25:24.010]	   "tmux-continuum" download success
[2024-08-20 13:25:24.017]	   "tmux-copycat" download success
[2024-08-20 13:25:25.262]	   "tmux-resurrect" download success
[2024-08-20 13:25:25.273]	 Done.

[2024-08-20 13:26:31.785]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:26:31.795]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:26:32.029]	 Installing "tags"
[2024-08-20 13:26:32.037]	 Already installed "tmux-copycat"
[2024-08-20 13:26:32.038]	 Already installed "tmux-resurrect"
[2024-08-20 13:26:32.040]	 Already installed "tmux-continuum"
[2024-08-20 13:26:32.475]	   "tags" download fail
[2024-08-20 13:26:32.506]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:26:33.212]	 Updating all plugins!
[2024-08-20 13:26:33.212]	 
[2024-08-20 13:26:34.122]	   "tmux-continuum" update success
[2024-08-20 13:26:34.122]	   "tmux-copycat" update success
[2024-08-20 13:26:34.124]	     | Already up to date.
[2024-08-20 13:26:34.124]	     | Already up to date.
[2024-08-20 13:26:34.144]	   "tmux-resurrect" update success
[2024-08-20 13:26:34.146]	     | Already up to date.
[2024-08-20 13:26:34.158]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:26:34.825]	 Done.

[2024-08-20 13:31:07.813]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:31:07.823]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:31:08.140]	 Installing "tags"
[2024-08-20 13:31:08.152]	 Already installed "tmux-copycat"
[2024-08-20 13:31:08.152]	 Already installed "tmux-resurrect"
[2024-08-20 13:31:08.152]	 Already installed "tmux-continuum"
[2024-08-20 13:31:08.536]	   "tags" download fail
[2024-08-20 13:31:08.561]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:31:08.797]	 Updating all plugins!
[2024-08-20 13:31:08.798]	 
[2024-08-20 13:31:09.774]	   "tmux-continuum" update success
[2024-08-20 13:31:09.774]	   "tmux-copycat" update success
[2024-08-20 13:31:09.777]	     | Already up to date.
[2024-08-20 13:31:09.777]	     | Already up to date.
[2024-08-20 13:31:09.798]	   "tmux-resurrect" update success
[2024-08-20 13:31:09.800]	     | Already up to date.
[2024-08-20 13:31:09.811]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:31:09.859]	 Done.

[2024-08-20 13:37:10.150]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:37:10.161]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:37:10.708]	 Installing "tags"
[2024-08-20 13:37:10.716]	 Already installed "tmux-continuum"
[2024-08-20 13:37:10.717]	 Already installed "tmux-resurrect"
[2024-08-20 13:37:10.717]	 Already installed "tmux-copycat"
[2024-08-20 13:37:11.140]	   "tags" download fail
[2024-08-20 13:37:11.173]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:37:11.615]	 Updating all plugins!
[2024-08-20 13:37:11.616]	 
[2024-08-20 13:37:12.476]	   "tmux-continuum" update success
[2024-08-20 13:37:12.477]	   "tmux-copycat" update success
[2024-08-20 13:37:12.479]	     | Already up to date.
[2024-08-20 13:37:12.479]	     | Already up to date.
[2024-08-20 13:37:12.503]	   "tmux-resurrect" update success
[2024-08-20 13:37:12.505]	     | Already up to date.
[2024-08-20 13:37:12.517]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:37:12.566]	 Done.

[2024-08-20 13:37:22.760]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:37:22.772]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:37:23.000]	 Installing "tags"
[2024-08-20 13:37:23.008]	 Already installed "tmux-copycat"
[2024-08-20 13:37:23.008]	 Already installed "tmux-continuum"
